エコステーション21七条西,民営,京阪線,七条,0120－923－521,東山区日吉町,113,,86,,,150,250,400,,,入庫後1時間,無,0:00,0:00,,135.7678159,34.98885386
エコステーション21下京区総合庁舎駐輪場,民営,近鉄・地下鉄・JR,京都,0120-923-521,下京区西洞院通塩小路上る東塩小路町,112,,16,,,400,1200,,,【自転車】6時間100円【原付】4時間200円,入庫後2時間,無,0:00,0:00,,135.7553422,34.98754411
京阪六地蔵駅自転車駐車場,民営,地下鉄東西線,六地蔵,075-601-3320,伏見区桃山因幡町7番地,600,100,,,,150,250,350,250,125cc以下1日250円，125cc超1日350円,,有,4:30,1:00,,135.7930472,34.93179706
ブーブーパーク西院駐輪場,民営,阪急線,西院,075－823－0001,右京区西院東淳和院町8－27,70,39,,,,100,300,,,【原付】【自動二輪】（125ｃｃ以下）1Ｈ毎100円，１日最大300円,入庫後30分,無,0:00,0:00,,135.7317604,35.00473367
蹴上駅前駐輪場,民営,地下鉄東西線,蹴上,090－3466－0682,東山区東小物座町331,15,,,,,,,,,月極のみ　月3000円（日割りも可　別途相談）,,有,0:00,0:00,,135.790452,35.007734
エコステーション21藤森東,民営,京阪線,藤森,0120－923－521,伏見区深草堀田町,102,,,,,150,,,,,入庫後1時間,無,0:00,0:00,,135.7706209,34.95670285
ブーブーパーク西院第4駐輪場,民営,阪急線,西院,075－823－0001,右京区西院東淳和院町7番1,50,,24,,,150,200,,,,,無,0:00,0:00,,135.731679,35.0042967
桂駐輪センター,民営,阪急線,桂,075－381－3335,西京区川島北裏町,147,,91,,,,,,,月極のみ,,有,0:00,0:00,,135.7034784,34.97887987
京阪納所駐輪場,民営,京阪線,淀,070－6964－0744,伏見区淀池上町,927,,,,,,,,,月極のみ　月2500円,,有,0:00,0:00,,135.7207501,34.90618703
フルーツ自転車パーク京阪清水五条駅,民営,京阪線,清水五条,0120－162－088,東山区宮川筋8丁目431他,91,,,,,100,,,,,,無,0:00,0:00,,135.7688875,34.99628711
フルーツ自転車パーク祇園,民営,京阪線,祇園四条,0120－162－088,東山区祇園町北側,65,,,,,150,,,,100円/８Ｈ，150/24Ｈ毎,,無,0:00,0:00,,135.7776452,35.00462095
京都市山科駅自転車等駐車場,公営,地下鉄東西線,山科,075－501－5206,山科区安朱桟敷町200番地の2,1600,,300,,,150,250,,,月極　自転車：月2700円（障害者等・学生月2500円），原付：月4500円,,有,5:00,1:00,,135.816507,34.99158612
御池通まちかど駐輪場（烏丸エリア）,民営,地下鉄烏丸線,烏丸御池,0120-923-521,烏丸通御池交差点周辺,210,,,,,,,,,3時間まで100円，以降2時間毎に50円加算,入庫後30分,無,0:00,0:00,,135.7583367,35.01097898
京都市東野駅自転車駐車場,公営,地下鉄東西線,東野,075－502－1977,山科区東野片下り町27番地の4,900,,,,,150,,,,月極　自転車：月2700円（障害者等・学生月2500円）,,有,5:00,1:00,,135.8163825,34.98136877
二条駅まちかど西駐輪場,民営,地下鉄・ＪＲ,二条,0120－923－521,中京区西ノ京栂尾町,203,,,,,400,,,,6Ｈ100円,入庫後1時間,無,0:00,0:00,,135.7408013,35.01080961
フルーツ自転車パーク地下鉄五条駅,民営,地下鉄烏丸線,五条,0120-162-088,下京区室町通松原下る元両替町251-1,60,,,,,100,,,,24時間毎100円,,無,0:00,0:00,,135.7580708,34.99825127
先斗町自転車駐車場,民営,阪急線,河原町,075－256－8466,中京区備前島町310番地の2,328,,,,,150,,,,,,有,0:00,0:00,,135.7704435,35.00531613
京都市銀閣寺観光駐車場,公営,その他（京都市営バス銀閣寺道）,京都市営バス銀閣寺道,075－361－7431,左京区浄土寺石橋町62番地,5,15,,,,200,,400,,,,無,8:00,17:00,,135.7948134,35.0265961
京都駅八条口西自転車駐車場,公営,近鉄・地下鉄・JR,京都,0120-923-521,南区九条北ノ内町,408,,,,,,,,,月極のみ　月2700円（障害者等・学生月2500円）,,有,0:00,0:00,,135.7559302,34.98440883
エコステーション21 京都鉄道博物館Aエリア,民営,近鉄・地下鉄・JR,京都,0120-923-521,下京区観喜寺町15,54,,,,,150,,,,24時間毎150円,入庫後3時間,無,0:00,0:00,,135.743379,34.987491
