烏丸今出川駐輪場,民営,地下鉄烏丸線,今出川,075-761-1221,上京区武者小路通室町東入梅屋町,85,32,,,,,,,,月極のみ　,,有,0:00,0:00,,135.7592403,35.02839006
パーくん今出川駐輪場,民営,地下鉄烏丸線,今出川,075-441-0680,上京区岡松町258-1,20,,,,,,,,,6H毎100円,,無,0:00,0:00,,135.7588128,35.02986242
京都市太秦自転車等駐車場,公営,JR線,太秦,0800−3333−321,右京区太秦上ノ段町19番地の2,947,,74,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.7008113,35.01717918
ＪＲＥＣ元田中　月極駐輪場,民営,叡山電鉄線,元田中,075-781-1111,左京区田中里ノ内町64番地,2,,2,,,,,,,"・月極のみ　【自転車】2500円，【原付】3000円，【自動二輪】3500円（全て税別）・保証金１ヶ月分＋手数料１ヶ月分が別途必要（契約時のみ） ",,有,0:00,0:00,126cc以上要相談,135.781039,35.034265
ｴｺｽﾃｰｼｮﾝ21西木屋町バイク駐車場,民営,阪急線,河原町,0120−923−521,中京区高瀬川筋四条上る紙屋町,,55,,,,,,,,【原付】8Ｈ毎200円，【バイク】8Ｈ毎300円,入庫後1時間,無,0:00,0:00,,135.7703604,35.00513438
第1ｼﾊﾞｳﾗ駐輪場,民営,阪急線,西院,075−319−0999,右京区西院西淳和院町,35,30,,,,,,,,月極のみ,,有,0:00,0:00,,135.7311413,35.0042967
竹田駅東口（一時利用区画A西，A東，B）,民営,地下鉄烏丸線,竹田,0120-03-6548,伏見区竹田樋ノ井町,584,,40,,,150,250,,,,,無,0:00,0:00,,135.7568756,34.95660849
祇園新橋ｻﾝｷﾝｶﾞﾚｰｼﾞ,民営,京阪線,祇園四条,075−551−4191,東山区橋本町,40,40,,,,,,,,【自転車】12Ｈ300円，【原付】12Ｈ500円，【バイク】12Ｈ1000円,,有,0:00,0:00,,135.7758561,35.00565805
伏見桃山駐輪場,民営,近鉄線,桃山御陵前,075−612−7700,伏見区両替町,100,,,,,,,,,月極のみ,,有,5:00,0:00,,135.7640062,34.93234961
SOZO+（ソゾクロス）駐輪場,民営,阪急線,河原町,075−823−0001,中京区柳馬場通蛸薬師下る十文字町437,67,,14,,,200,300,,,,,無,0:00,0:00,,135.7640292,35.00594365
京阪伏見桃山＆近鉄桃山御陵駅前24時間駐輪場,民営,京阪線／近鉄線,伏見桃山／桃山御陵,0798−69−3720,伏見区京町4丁目143,134,21,,,,100,,,,【バイク】1日200円,,無,0:00,0:00,,135.7648834,34.9338045
京都駅ビル東駐輪場,民営,近鉄・地下鉄・JR,京都,075-361-4551,下京区東塩小路向畑町,221,,4,,,200,300,,,,,無,6:00,0:00,,135.761617,34.98575591
サイクルパーク伏見稲荷駅前,民営,京阪線,伏見稲荷,075−925−1191,伏見区深草一ノ坪町,66,,20,,,150,300,,,,,無,0:00,0:00,,135.7694376,34.96835995
桃山駅自転車駐輪場,公営,JR線,桃山,075−222−3565,伏見区桃山町鍋島,126,,,,,無料,,,,,,無,0:00,0:00,,135.7708972,34.93272608
エコステーション21京阪桃山南口,民営,京阪線,桃山南口,0120−923−521,伏見区桃山町丹後,141,,13,,,150,300,,,,入庫後1時間,有,0:00,0:00,,135.7837128,34.93151681
桂東阪急ビル駐輪センター,民営,阪急線,桂,075−381−3335,西京区桂野里町,360,,,,,180,,,,,,有,6:30,23:30,,135.7036648,34.98022744
藤森南駐輪場,民営,京阪線,藤森,075−601−5222,伏見区深草極楽町,97,,,,,,,,,月極のみ,,有,0:00,0:00,,135.7700277,34.95598141
二条駅まちかど東駐輪場,民営,地下鉄・ＪＲ,二条,0800−3333−321,中京区西ノ京栂尾町,68,,,,,,,,,6Ｈ150円，以降6Ｈ毎に100円，,入庫後1時間,無,0:00,0:00,,135.7420932,35.01073974
フルーツ自転車パーク阪急烏丸駅第２,民営,地下鉄／阪急,四条／烏丸,0120-162-088,下京区柳馬場通綾小路下る永原町153-4,58,,,,,,,,,12時間毎100円,,無,0:00,0:00,,135.7632244,35.00214084
フルーツバイクパーク地下鉄西大路御池駅,民営,地下鉄東西線,西大路御池,0120-162-088,中京区西ノ京下合町37番,,7,,,,,,,,1時間毎100円，24時間毎最大200円,,無,0:00,0:00,,135.7320675,35.01019853
京都市椥辻駅自転車駐車場,公営,地下鉄東西線,椥辻,075−502−2270,山科区椥辻池尻町14番地の4,800,,　,,,150,,,,月極　自転車：月2700円（障害者等・学生月2500円）,,有,5:00,1:00,,135.8145999,34.97205958
京都市市役所前広場自転車駐輪場,公営,地下鉄東西線,京都市役所前,075-708-6111,中京区寺町通御池上る上本能寺前町488,408,,,,,150,,,,"月極　月2700円（障害者等・学生月2500円）",,有,0:00,0:00,,135.7675007,35.01130047
フヤ町パーキング,民営,阪急線,河原町,075−211−3168,中京区麩屋町通四条上ル桝屋町,10,5,,,,200,400,600,,,,無,8:00,23:00,,135.7655768,35.00413971
Ｔ−ｐaｒｋ大堀町,民営,地下鉄烏丸線,五条,075−693−5761,下京区大堀町492,,,,,47,,,,,1日300円,,無,0:00,0:00,,135.7604781,34.9976263
エコステーション21常盤駅駐輪場,民営,京福電鉄線,常盤,0120−923−521,右京区常盤馬塚町,70,,,,,100,,,,,,無,0:00,0:00,,135.7047659,35.02040112
京都三条会商店街駐輪場,民営,地下鉄・ＪＲ,二条,075−803−3466,中京区壬生馬場町14−7,11,15,,,,,,,,月極のみ　【自転車】3150円/月【原付】4550円/月【自動二輪（中型）】5600円/月【自動二輪（大型）7000円/月,,有,0:00,0:00,,135.7445655,35.00846469
梅小路公園七条入口広場　自転車・バイク駐車場,民営,近鉄・地下鉄・JR,京都,075−321−7776,下京区観喜寺町５６-３,169,47,,,,150,,,,【バイク】2H100円,【自転車】入庫後3時間　【バイク】入庫後1時間,無,0:00,0:00,,135.743918,34.9889949
向島ニュータウン（北）自転車駐車場,民営,近鉄線,向島,075−621−0801,伏見区向島二ノ丸町,1201,,149,,,150,250,350,,,,有,5:00,1:00,,135.7696504,34.91564424
京都市醍醐駅自転車駐車場,公営,地下鉄東西線,醍醐,075−573−2160,伏見区醍醐高畑町1番地の36,1000,,,,,150,,,,月極　自転車：月2700円（障害者等・学生月2500円）,,有,5:00,1:00,,135.8109354,34.95133029
先斗町バイク駐車場,民営,阪急線,河原町,075−213−5526,中京区樵木町195番地の4,,390,,,,,250,350,250,,,有,0:00,0:00,,135.7705952,35.00635706
タカノハスクエア駐輪場,民営,地下鉄／阪急,四条／烏丸,075-253-6868,下京区仏光寺通烏丸東入上柳町,32,,8,,,,,,,月極のみ　,,有,0:00,0:00,,135.760327,35.0013643
くるっとパーク四条烏丸南駐輪場,民営,地下鉄烏丸線,四条,075−361−7431,下京区綾小路通烏丸東入竹屋之町251番1,68,,,,,,,,,6H毎100円　24H最大料金300円,,無,0:00,0:00,,135.760675,35.002442
粟津工芸,民営,京福電鉄線,太秦広隆寺,075−881−3282,右京区太秦組石町,30,,,,,無料,,,,月極のみ,,有,0:00,0:00,原付も可,135.7080744,35.01304024
京都市出町駐車場,公営,京阪線,出町柳,075−251−0222,上京区河原町通今出川上る青龍町,540,,80,,,150,,,,【自動二輪】【原付】昼間：（4時30分〜翌1時）1回30分までごとに60円。ただし，30分までごとに60円を加えた額が480円を超えるときは480円。夜間：（翌1時〜9時）480円。,,有,4:30,1:00,,135.7704293,35.03032369
京都市高雄観光駐車場,公営,その他,京都市営バス高雄,075−361−7431,右京区梅ケ畑栂尾町1番地の1,5,5,,,,200,,400,,,,無,8:00,17:00,,135.6791897,35.0605395
ECO通ステーション,民営,地下鉄烏丸線,烏丸御池,075-241-1518,中京区堺町通御池下ﾙ丸木材町,57,,,,,,,,,1日250円（屋外）400円（屋内）,,無,7:00,22:00,【利用可能時間】【月〜金】7:00〜22:00【土】8:00〜21:00【日・祝】9:00〜17:00,135.7632672,35.00986936
京都市上鳥羽口駅自転車等駐車場,公営,近鉄線,上鳥羽口,0800−3333−321,伏見区竹田向代町110番地の1,350,,50,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.7526655,34.96466352
フルーツ自転車パーク烏丸御池駅,民営,地下鉄烏丸線,烏丸御池,0120-162-088,中京区両替町通押小路上る金吹町461番,60,,,,,,,,,最初の12Ｈ100円　以降6Ｈ毎50円,,無,0:00,0:00,,135.7588974,35.0127473
ＪＲＥＣ一乗寺　月極駐輪場,民営,叡山電鉄線,一乗寺,075-781-1111,左京区一乗寺里ノ前町5番,2,,2,2,,,,,,"・月極のみ　【自転車】5000円，【原付】6000円，【自動二輪】7000円（全て税別）・保証金１ヶ月分＋手数料１ヶ月分が別途必要（契約時のみ） ",,有,0:00,0:00,126cc以上要相談,135.787666,35.043822
京都市御射山自転車等駐車場,公営,地下鉄／阪急,四条／烏丸,075-255-1511,中京区東洞院通六角下る御射山町280番地,887,,121,,,,,,,"【自転車】〜1H無料，1H〜5H100円，5H〜10Hまで150円，10H〜24H200円，24Hごと200円・月極　自転車：月2700円（障害者等・学生月2500円）【原付】〜1H100円，1H〜5H200円，5H〜10Hまで250円，10H〜24H300円，24Hごと300円・月極め　原付：月4500円",自転車のみ入庫後1時間,有,0:00,0:00,,135.7611641,35.00658914
京都市円町駅自転車等駐車場,公営,JR線,円町,0800−3333−321,中京区西ノ京南円町42番地の1,690,,71,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.7307641,35.01812714
京都市西院自転車駐車場,公営,阪急線,西院,0800−3333−321,右京区西院高山寺町19番地,954,,,,,150,,,,"月極　月2700円（障害者等・学生月2500円）",,有,4:30,1:00,,135.7327417,35.00394942
京阪中書島駅駐輪場,民営,京阪線,中書島,075−601−5222,伏見区葭島矢倉町,646,,74,,,150,200,,,,,有,5:00,0:50,,135.7601409,34.92701158
北大路東月極駐輪場,民営,地下鉄烏丸線,北大路,075-706-3280,北区小山上総町5番2,58,,10,,,,,,,月極のみ　自転車　月3500円，原付　月6000円,,有,0:00,0:00,,135.7588843,35.04430443
京都市国際会館駅自転車等駐車場,公営,地下鉄烏丸線,国際会館,075-724-2378,京都市岩倉大鷺町５５０番地,2152,,269,,,150,250,,,月極　自転車：月2700円（障害者等・学生月2500円），原付：月4500円,,有,5:00,1:00,,135.7854543,35.06388249
GATO.D.M北山第一駐輪場,民営,地下鉄烏丸線,北山,075-803-1119,左京区下鴨前萩町,100,,,,,,,,,18時間100円（最初の1時間無料）,入庫後1時間,無,0:00,0:00,,135.7675047,35.05124086
京阪伏見稲荷駅前24時間駐輪場,民営,京阪線,伏見稲荷,0798−69−3720,伏見区深草一ノ坪町29−12,47,,,,,100,,,,,,無,0:00,0:00,,135.7694344,34.96843835
京都市東寺駅自転車等駐車場,公営,近鉄線,東寺,0800−3333−321,南区西九条島町66番地の1,480,,60,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.752493,34.97901966
京都市桂駅東口自転車駐車場,公営,阪急線,桂,0800−3333−321,西京区桂野里町41番地の45,500,,,,,150,,,,"月極　月2700円（障害者等・学生月2500円）",,有,4:30,1:30,,135.7052954,34.97990296
フルーツ自転車パーク京阪伏見桃山駅,民営,近鉄線,桃山御陵前,0120−162−088,伏見区魚屋町559番地,76,,,,,100,,,,,,無,0:00,0:00,,135.7646149,34.93166889
エコステーション21七条東,民営,京阪線,七条,0120−923−521,東山区一橋宮ノ内町,66,,,,,150,,,,,入庫後1時間,無,0:00,0:00,,135.7682401,34.98785836
エコステーション21 西院朱雀まちかど駐輪場,民営,阪急・京福電鉄,西院,0120-923-521,中京区壬生東土居ノ内町20,203,,,,,,,,,3時間まで100円，3時間以上24時間まで150円，以降24時間毎150円,入庫後30分間,無,0:00,0:00,,135.735347,35.003085
町家パーク,民営,地下鉄東西線,京都市役所前,075−255−0739,中京区弁慶石町,40,,5,,,,,,,【自転車】3Ｈ100円，【原付】1Ｈ100円,,有,8:00,22:00,,135.7660794,35.00869912
山科駅西自転車駐車場,民営,地下鉄東西線,山科,075−501−3485,山科区上野御所ノ内町,589,307,,,,150,250,350,,,,有,0:00,0:00,,135.8165961,34.9918884
エコステーション21京福帷子ノ辻駅,民営,京福電鉄線,帷子ノ辻,0120−923−521,右京区太秦帷子ノ辻町,238,,14,,,,,,,（ＡＢブロック）【自転車】12Ｈ100円，【原付】12Ｈ200円（Ｃブロック）【自転車】3Ｈ100円，【原付】3Ｈ200円（Ｄブロック）【自転車】12Ｈ100円，【原付】12Ｈ200円,ＡＢブロック1時間無料，Ｃブロック2時間無料，Ｄブロック2時間無料,無,0:00,0:00,,135.7008877,35.01536072
八条口駐車場,民営,近鉄・地下鉄・JR,京都,075-671-8947,南区東九条西山王町31番地,,100,,,,,300,400,300,,,無,0:00,0:00,,135.7602187,34.98341622
エコステーション21 京都水族館,民営,近鉄・地下鉄・JR,京都,0120-923-521,下京区観喜寺町35-1,131,,,,,,,,,24時間毎150円,入庫後3時間,無,0:00,0:00,,135.748742,34.987776
PARK@深草,民営,京阪線,深草,075-803-1119,伏見区深草ケナサ町,82,13,,,,,,,,【自転車】12Ｈ100円，【原付】【バイク】12Ｈ100円,入庫後1時間,無,0:00,0:00,,135.7699575,34.96449186
近鉄伏見駅駐輪場,民営,近鉄戦,伏見,075−642−9190,伏見区深草柴田屋敷町,90,,30,,,150,200,,,,,有,0:00,0:00,,135.7608868,34.94647582
京都市花園駅自転車等駐車場,公営,JR線,花園,0800−3333−321,右京区花園寺ノ内町5番地,730,,50,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.7174341,35.01851758
京都駅ビル西駐輪場,民営,近鉄・地下鉄・JR,京都,075-361-4551,下京区東塩小路町,857,343,,,,200,300,450,,,,無,6:00,0:00,,135.7560931,34.98623961
柳月堂出町柳駐輪場,民営,京阪線,出町柳,080−5701−5161,左京区田中下柳町,424,,,,,,,,,6Ｈ毎100円,,無,0:00,0:00,,135.7736347,35.03020542
T-park桂野里町駐輪場,民営,阪急線,桂,075−693−5761,西京区桂野里町41番15,,,,,25,300,300,,,,,無,0:00,0:00,,135.7051219,34.97991441
K.M.Tパーク,民営,阪急線,桂,075−381−2630,西京区桂南巽町,34,54,,,,,,,,月極のみ,,有,0:00,0:00,,135.7021261,34.98040113
パークス茶山駅駐輪場,民営,叡山電鉄線,茶山,075−803−1119,左京区田中北春菜町,46,2,,,,150,250,250,,,,無,0:00,0:00,,135.7846036,35.03853161
ゼスト御池,公営,地下鉄東西線,京都市役所前,075-253-2760,中京区下本能寺前町４９２−１,,403,,,,,,,,"7:00〜22:00　30分100円　 22:00〜7:00　60分100円．上限(土曜・日曜・祝日除く)　6:00〜24:00　500円　　21:00〜9:00　500円 ",,有,0:00,0:00,,135.7680022,35.0108941
蹴上駐輪場,民営,地下鉄東西線,蹴上,075−761−1221,東山区三条通白川橋東入七町目東分木町,37,4,,,,,,,,月極のみ,,有,0:00,0:00,,135.7881178,35.00946552
烏丸今出川路上駐輪場,民営,地下鉄烏丸線,今出川,075-361-7431,上京区今出川町,56,,,,,,,,,2時間まで100円　以降2時間毎50円（24時間最大500円）,入庫後30分,無,0:00,0:00,,135.7591294,35.02923459
京都市石田駅自転車等駐車場,公営,地下鉄東西線,石田,075−573−7365,伏見区石田森東町46番地,600,,50,,,150,250,,,月極　自転車：月2700円（障害者等・学生月2500円），原付：月4500円,,有,5:00,1:00,,135.8036148,34.94047967
エコステーション21 錦小路自転車駐輪場,民営,阪急線,烏丸,0120−9235−21,下京区四条高倉西入立売西町79番地,118,,,,,,,,,4H150円，以降4H毎50円加算,入庫後3時間,無,9:00,21:00,"・21：00〜9：30まで閉場します。・年末年始など、早期閉場、終日閉場の場合があります。",135.7617149,35.0049288
竹田駅南西（定期利用久区画3）,民営,地下鉄烏丸線,竹田,075-606-1825,伏見区竹田西樋ノ井町,150,,,,,,,,,月極のみ　【自転車】2700円,,有,0:00,0:00,,135.7559348,34.95432473
わかば自転車駐輪場,民営,JR線,西大路,075−691−7725,南区唐橋平垣町,200,,20,,,150,250,,,,,有,6:00,22:00,,135.7328884,34.980807
和久田商店,民営,京阪線,淀,075−631−1760,伏見区淀本町,30,,60,,,100,200,,,,,有,6:00,22:00,有人管理は7時〜19時,135.7195956,34.90575547
竹田駅西口（一時利用区画C，D）,民営,地下鉄烏丸線,竹田,0120-03-6548,伏見区竹田樋ノ井町,306,,38,,,150,250,,,,,無,0:00,0:00,,135.7553377,34.95660107
ブーブーパーク墨染駅前駐輪場,民営,京阪線,墨染,075−823−0001,伏見区深草芳本町671−51,30,20,,,,,,,,【自転車】2Ｈ100円，24H最大500円　【バイク】2Ｈ200円，24H最大800円,入庫後1時間,無,0:00,0:00,,135.7688195,34.9481316
竹田駅6番出口（定期利用区画4）,民営,地下鉄烏丸線,竹田,075-606-1825,伏見区竹田西樋ノ井町,108,,,,,,,,,月極のみ　【自転車】2700円,,有,0:00,0:00,,135.7558895,34.95505139
T-Park大宮町,民営,阪急線,大宮,075−693−5761,中京区四条坊大宮町168−1,,,,,80,300,300,300,,,,無,0:00,0:00,,135.7488925,35.00538816
フルーツ自転車パーク京都駅北,民営,近鉄・地下鉄・JR,京都,0120-162-088,下京区七条通烏丸東入真芋町220番3,34,,,,,,,,,12H150円，以降4H毎50円,,無,0:00,0:00,,135.7609491,34.9890629
円町駅西自転車駐車場,民営,JR線,円町,075−361−7431,中京区西ノ京円町42番地の1,258,,35,,,,,,,月極のみ,,有,5:00,1:00,,135.7301326,35.01821841
イージー自転車パーク河原町,民営,阪急線,河原町,0120−162−088,中京区裏寺町584番地,115,,,,,,,,,平日8Ｈ100円，ただし24Ｈ最大200円，土日祝8Ｈ150円，ただし24Ｈ300円,,無,0:00,0:00,,135.76821,35.00675213
パークス宝ヶ池駅東，西駐輪場,民営,叡山電鉄線,宝ヶ池,075−803−1119,(東)左京区上高野上蒔町　（西）左京区上高野荒蒔町,87,6,,,,150,250,250,,,,無,0:00,0:00,,135.7921633,35.05795993
エコステーション21車折神社駅駐輪場,民営,京福電鉄線,車折神社,0120−923−521,右京区嵯峨中又町,55,,,,,100,,,,,,無,0:00,0:00,,135.6887907,35.01682119
四条大宮まちかど駐輪場２,民営,阪急線,大宮,0800−3333−321,下京区立中町,55,,,,,,,,,200円6Ｈ，以降3Ｈ毎に100円加算,入庫後1時間,無,0:00,0:00,,135.7496985,35.00382348
京都市太秦天神川駅自転車等駐車場,公営,地下鉄東西線,太秦天神川,075−864−0648,右京区太秦下刑部町9番地の2,840,,196,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,5:00,1:00,,135.7153098,35.01069102
阪急西院駐輪センター,民営,阪急線,西院,075−315−3088,右京区西院高山寺町,655,15,,,,150,,,,原付・バイク　月極のみ利用可能,,有,6:30,23:30,,135.73106,35.003307
観月橋南詰駐輪場,（記載しない）,京阪線,観月橋,075−601−7213,伏見区向島善阿弥町,950,,,,,無料,,,,,,無,0:00,0:00,,135.7693483,34.92559694
